Cislo,Lokalita,Doplnky,Status,Vykon,Rozpocet,Celkova_cena_bez_DPH,Zdroj,Prvni_poptavka,Odeslana_nabidka,Odeslani_zadosti,Uzavreni_smlouvy_o_dilo,Datum_prvni_zalohy,Prvni_zaloha,Datum_prvni_uhrady,Zahajeni_stavby,Ukonceni_stavby,Datum_druhe_zalohy,Druha_zaloha,Datum_druhe_uhrady,Datum_revize,Zadost_o_PPP,PPP,Datum_predani,Datum_treti_zalohy,Treti_zaloha,Datum_treti_uhrady,Podani_zadosti_o_dotaci
94,Hustopeče,,Ukonceno,5.4,260000.00,291664.00,Interni,,01/01/2020,20/05/2021,24/02/2022,24/02/2022, 201248.16 ,25/02/2022,16/02/2022,19/04/2022,20/04/2022, 100624.08 ,26/04/2022,27/04/2022,13/06/2022,18.08.2022,,19/08/2022, 33541.36 ,19/08/2022,31/08/2022
95,Skalice,SK,Odlozeno,9.9,247800.00,312865.00,Interni,24/01/2022,01/01/2020,,,, 215876.85 ,,,,, 107938.43 ,,,,,,, 35979.48 ,,
96,Ivančice,,Nerealizovano,7.2,326000.00,398905.00,Interni,18/01/2022,09/02/2022,,,, 275244.45 ,,,,, 137622.23 ,,,,,,, 45874.08 ,,
97,Prušánky,,Nerealizovano,5.4 kWh,260000.00,454932.00,Externi,24/01/2022,09/02/2022,,,, 313903.08 ,,,,, 156951.54 ,,,,,,, 52317.18 ,,
98,Rohatec,ET,Ukonceno,6.9,321800.00,393085.00,Interni,18/01/2022,28/01/2022,14/02/2022,11/02/2022,17/02/2022, 271228.65 ,18/02/2022,29/03/2022,19/07/2022,02/08/2022, 135614.33 ,03/08/2022,22/07/2022,01/08/2022,10.11.2022,,,45205.00,,
99,Lužice,,Pripojeni,3.68,189700.00,233510.00,Interni,25/01/2022,01/02/2022,18/02/2022,23/02/2022,23/02/2022, 161121.90 ,01/03/2022,28/03/2022,01/06/2022,17/05/2022, 80560.95 ,26/06/2022,27/05/2022,13/06/2022,,,14/11/2022, 26853.65 ,,
100,Ostrava,,Ukonceno,5.52,312700.00,369538.00,Interni,26/01/2022,14/02/2022,22/03/2022,17/03/2022,17/03/2022, 254981.22 ,22/03/2022,09/05/2022,21/06/2022,21/06/2022, 127490.61 ,28/06/2022,03/06/2022,28/06/2022,01.08.2022,01/08/2022,02/08/2022, 42496.87 ,03/08/2022,16/09/2022
101,Kopřivnice,,Nerealizovano,9.9,373881.00,477370.00,Interni,20/01/2022,25/01/2022,,,, 329385.30 ,,,, , 164692.65 ,,,,,,, 54897.55 ,,
102,Kostelec u Kyjova,,Nerealizovano,baterie,,,Externi,21/01/2022,,,,, - ,,,,, - ,,,,,,, - ,,
103,,,Nerealizovano,,,,Externi,22/01/2022,,,,, - ,,,,, - ,,,,,,, - ,,
104,Pohořelice,,Nerealizovano,8.1,336000.00,414777.00,Externi,24/01/2022,01/02/2022,,,, 286196.13 ,,,,, 143098.07 ,,,,,,, 47699.36 ,,
105,Vlčnov,,Nerealizovano,7.2,326000.00,398905.00,Interni,26/01/2022,04/02/2022,,,, 275244.45 ,,,,, 137622.23 ,,,,,,, 45874.08 ,,
106,,,Nerealizovano,,,,Interni,26/01/2022,,,,, - ,,,,, - ,,,,,,, - ,,
107,Podolí u Brna,,Nerealizovano,5.06kWp,294175.00,369650.00,Externi,27/01/2022,07/06/2022,,,, 255058.50 ,,,,, 127529.25 ,,,,,,, 42509.75 ,,
108,Mikulčice,"JG, IK",Ukonceno,8.28,398200.00,471830.00,Interni,27/01/2022,01/02/2022,26/04/2022,24/02/2022,24/02/2022, 325562.70 ,25/02/2022,16/05/2022,20/05/2022,23/05/2022, 162781.35 ,27/05/2022,24/05/2022,02/06/2022,mikrozdroj,17/06/2022,17/06/2022, 54261.00 ,17/06/2022,19/07/2022
109,Horní Bojanovice,,Pripojeni,8.28,400200.00,473530.00,Interni,27/01/2022,01/02/2022,24/02/2022,24/02/2022,24/02/2022, 326735.70 ,25/02/2022,04/04/2022,,05/05/2022, 163368.00 ,11/05/2022,09/05/2022,03/06/2022,31.01.2023,,, 54456.00 ,,
110,Mikulčice,,Nerealizovano,9.9,373881.00,444807.00,Interni,27/01/2022,01/02/2022,,,, 306916.83 ,,,,, 153458.42 ,,,,,,, 51152.81 ,,
111,Bzenec,,Nerealizovano,5.4,265060.00,325978.00,Externi,28/01/2022,01/02/2022,,,, 224924.82 ,,,,, 112462.41 ,,,,,,, 37487.47 ,,
112,Uherský Brod,,Nerealizovano,8.1,336000.00,414777.00,Interni,28/01/2022,28/01/2022,,,, 286196.13 ,,,,, 143098.07 ,,,,,,, 47699.36 ,,
113,,,Nerealizovano,,,,Externi,30/01/2022,,,,, - ,,,,, - ,,,,,,, - ,,
114,Praha,WB,Ukonceno,9,300000.00,367273.00,Interni,11/01/2022,01/01/2020,01/06/2022,11/01/2022,11/01/2022, 253418.37 ,28/01/2022,07/02/2022,,08/04/2022, 126709.19 ,11/04/2022,22/04/2022,02/08/2022,31.08.2022,,01/09/2022, 42236.40 ,01/09/2022,11/10/2022
115,Zidlochovice,,Nerealizovano,,,,Interni,,,,,, - ,,,,, - ,,,,,,, - ,,
116,Kunštát,,Nerealizovano,8.1,336000.00,414777.00,Externi,27/01/2022,02/02/2022,,,, 286196.13 ,,,,, 143098.07 ,,,,,,, 47699.36 ,,
117,Blansko,,Nerealizovano,5.4,265060.00,374874.00,Externi,01/02/2022,02/02/2022,,,, 258663.06 ,,,,, 129331.53 ,,,,,,, 43110.51 ,,
118,Želetice,,Ukonceno,7.36,317900.00,386730.00,Interni,31/01/2022,21/02/2022,20/04/2022,11/03/2022,11/03/2022, 266843.70 ,30/03/2022,11/05/2022,,05/08/2022, 160775.18 ,12/08/2022,12/08/2022,22/08/2022,22.11.2022,,, 17121.00 ,,
119,Moravská Nová Ves,JG,Ukonceno,7.36,392158.00,466015.00,Interni,01/02/2022,03/02/2022,04/02/2022,04/02/2022,04/02/2022, 321550.35 ,14/02/2022,28/02/2022,25/03/2022,30/03/2022, 168515.00 ,05/04/2022,04/04/2022,09/05/2022,03.06.2022,letocha,17/06/2022, 53500.00 ,17/06/2022,externě
120,Kuřim,,Nerealizovano,5.4,265060.00,374874.00,Interni,01/02/2022,02/02/2022,,,, 258663.06 ,,,,, 129331.53 ,,,,,,, 43110.51 ,,
121,Luhačovice,,Nerealizovano,9.9,369581.00,472205.00,Interni,01/02/2022,02/02/2022,,,, 325821.45 ,,,,, 162910.73 ,,,,,,, 54303.58 ,,
122,Havřice,WB,Pripojeni,5.5,260000.00,405485.00,Interni,03/02/2022,24/02/2022,14/04/2022,11/03/2022,11/03/2022, 279784.65 ,21/03/2022,05/05/2022,05/08/2022,05/08/2022, 139892.33 ,26/08/2022,22/09/2022,05/11/2022,07.12.2022,,, 46631.00 ,,
123,,,Nerealizovano,,,,Externi,05/02/2022,,,,, - ,,,,, - ,,,,,,, - ,,
124,Mutěnice,ET,Nerealizovano,9.9,373881.00,477345.00,Externi,05/02/2022,09/02/2022,,,, 329368.05 ,,,,, 164684.03 ,,,,,,, 54894.68 ,,
125,Břeclav,,Nerealizovano,5.4,265060.00,374874.00,Externi,08/02/2022,17/02/2022,,,, 258663.06 ,,,,, 129331.53 ,,,,,,, 43110.51 ,,
126,Šlapanice,,Odlozeno,5.5,296500.00,360300.00,Externi,09/02/2022,02/03/2022,,,, 248607.00 ,,,,, 124303.50 ,,,,,,, 41434.50 ,,
127,Hořovice,LM,Ukonceno,6.8,330000.00,294210.00,Interni,11/02/2022,01/01/2020,11/05/2022,11/02/2022,11/02/2022, 203004.90 ,17/02/2022,10/03/2022,07/04/2022,08/04/2022, 101502.45 ,17/06/2022,22/04/2022,14/06/2022,18.07.2022,,18/07/2022, 33834.15 ,09/08/2022,11/08/2022
128,Komárov,LM,Ukonceno,9.66kWp,320000.00,373913.00,Interni,11/02/2022,01/01/2020,09/06/2022,17/05/2022,18/05/2022, 430000.00 ,25/05/2022,,0/00,, - ,,16/05/2022,21/07/2022,22.08.2022,,, - ,,12/10/2022
129,Osek,,Ukonceno,7.6,350000.00,308985.00,Interni,11/02/2022,01/01/2020,07/12/2021,11/02/2022,11/02/2022, 213199.65 ,29/03/2022,23/02/2022,07/04/2022,08/04/2022, 106599.83 ,22/04/2022,22/04/2022,06/06/2022,05.08.2022,05/08/2022,08/08/2022, 35533.28 ,22/08/2022,22/09/2022
130,Ratíškovice,LM,Ukonceno,3.15,165000.00,206341.00,Interni,11/02/2022,08/03/2022,23/05/2022,08/03/2022,11/03/2022, 142375.29 ,16/03/2022,27/04/2022,,21/06/2022, 71187.65 ,28/06/2022,20/06/2022,,mikrozdroj,,19/07/2022, 23729.22 ,15/08/2022,16/08/2022
131,Brod nad Dyjí,"ET, DŠ",Odlozeno,5.5,295100.00,360470.00,Interni,11/02/2022,14/02/2022,,,, 248724.30 ,,,,, 124362.15 ,,,,,,, 41454.05 ,,
132,Bílovice,"JH, DŠ",Nerealizovano,3.6,189700.00,234260.00,Interni,14/02/2022,21/02/2022,,,, 161639.40 ,,,,, 80819.70 ,,,,,,, 26939.90 ,,
133,Hodonín,WB,Ukonceno,5.52,310908.00,392460.00,Externi,14/02/2022,17/02/2022,30/03/2022,24/03/2022,24/03/2022, 270797.40 ,28/03/2022,02/05/2022,28/07/2022,15/07/2022, 135398.70 ,21/07/2022,18/07/2022,21/07/2022,26.10.2022,,26/10/2022, 34857.00 ,30/10/2022,
134,Kyjov,PS,Pripojeni,5.52,288000.00,363230.00,Interni,14/02/2022,21/02/2022,31/03/2022,24/03/2022,24/03/2022, 250628.70 ,04/04/2022,,,04/10/2022, 125314.35 ,10/10/2022,18/10/2022,19/10/2022,04.01.2023,,, 41771.45 ,,
135,Říčany,"PS, WB",Ukonceno,7.36,329000.00,448602.00,Interni,01/02/2022,18/02/2022,20/03/2022,25/02/2022,02/03/2022, 309535.38 ,03/03/2022,13/06/2022,,16/09/2022, 154767.69 ,26/09/2022,01/08/2022,17/08/2022,15.11.2022,,16/11/2022, 51589.23 ,16/11/2022,
136,Klobouky u Brna ,,Ukonceno,7.36,338900.00,401250.00,Externi,17/02/2022,21/02/2022,06/04/2022,28/03/2022,30/03/2022, 276862.50 ,01/04/2022,02/05/2022,15/07/2022,15/07/2022, 138431.25 ,28/07/2022,27/07/2022,29/07/2022,20.10.2022,,21/10/2022, 46144.00 ,07/11/2022,
137,Hrušky,WB,Pripojeni,4.5,234000.00,297722.00,Interni,17/02/2022,21/02/2022,23/03/2022,17/03/2022,17/03/2022, 205428.18 ,19/03/2022,23/05/2022,21/06/2022,22/06/2022, 102714.09 ,27/06/2022,27/06/2022,18/11/2022,13.02.4536,,, 34238.03 ,,
138,Vřesovice,DŠ,Nerealizovano,,,,Interni,17/02/2022,,,,, - ,,,,, - ,,,,,,, - ,,
139,Břeclav,,Nerealizovano,7.36,327900.00,395710.00,Interni,22/02/2022,21/03/2022,,,, 273039.90 ,,,,, 136519.95 ,,,,,,, 45506.65 ,,
140,Zlín,PS,Ukonceno,3.68,203000.00,252265.00,Externi,22/02/2022,05/03/2022,29/03/2022,16/03/2022,18/03/2022, 174062.85 ,24/03/2022,06/06/2022,21/06/2022,18/03/2022, 87031.43 ,24/03/2022,23/06/2022,04/08/2022,13.10.2022,,, - ,,21/10/2022
141,Uherské Hradiště,,Nerealizovano,,,,Externi,27/02/2022,,,,, - ,,,,, - ,,,,,,, - ,,
142,Letohrad,,Nerealizovano,,,,Externi,23/02/2022,,,,, - ,,,,, - ,,,,,,, - ,,
143,Ratíškovice,,Pripojeni,4.05,194000.00,247579.00,Interni,23/02/2022,08/03/2022,22/04/2022,08/03/2022,11/03/2022, 170829.51 ,14/03/2022,25/04/2022,,19/07/2022, 85414.76 ,28/07/2022,19/07/2022,04/08/2022,05.12.2022,,, 28471.59 ,,
144,Mutěnice,,Odlozeno,7.36,327900.00,395710.00,Interni,28/02/2022,08/03/2022,,,, 273039.90 ,,,,, 136519.95 ,,,,,,, 45506.65 ,,
145,Drslavice,"dotace Míša, IK",Ukonceno,7.36,,398760.00,Interni,01/03/2022,01/04/2022,28/04/2022,27/04/2022,13/05/2022, 275144.40 ,17/05/2022,,,05/10/2022, 137572.20 ,11/10/2022,30/06/2022,20/09/2022,14.11.2022,14/11/2022,, 45857.40 ,,
146,Dolní Bojanovice,,Nerealizovano,,,,Externi,01/03/2022,08/03/2022,,,, - ,,,,, - ,,,,,,, - ,,
147,Podivín,,Nerealizovano,,,,Externi,01/03/2022,17/03/2022,,,, - ,,,,, - ,,,,,,, - ,,
148,Rohatec,,Nerealizovano,,,,Externi,01/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
149,Dolní Němčí,,Pripojeni,5.52,295100.00,360470.00,Interni,28/02/2022,23/03/2022,06/04/2022,04/04/2022,04/04/2022, 248724.30 ,11/04/2022,17/05/2022,,21/06/2022, 124362.15 ,29/06/2022,23/06/2022,04/08/2022,30.01.2023,,, 41454.05 ,,
150,Havřice,,Nerealizovano,,,,Interni,01/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
151,Beskydy,,Nerealizovano,,,,Interni,01/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
152,Uherský Brod,,Nerealizovano,,,,Interni,01/03/2022,08/03/2022,,,, - ,,,,, - ,,,,,,, - ,,
153,Komárov,,Nerealizovano,5.52,302800.00,370246.00,Interni,02/03/2022,08/03/2022,,,, 255469.74 ,,,,, 127734.87 ,,,,,,,42578.29,,
154,Osek,,Ukonceno,8.28,359800.00,439040.00,Interni,02/03/2022,09/03/2022,12/04/2022,24/03/2022,24/03/2022, 302938.00 ,15/05/2022,01/06/2022,25/07/2022,23/08/2022, 151468.80 ,24/08/2022,01/08/2022,05/09/2022,14.10.2022,,17/10/2022, 50489.00 ,20/10/2022,02/11/2022
155,Kařízek,,Nerealizovano,8.28,359800.00,439040.00,Interni,02/03/2022,08/03/2022,,,, 302937.60 ,,,,, 151468.80 ,,,,,,, 50489.60 ,,
156,Drslavice,WB,Ukonceno,9.66kWp,404600.00,486060.00,Interni,02/03/2022,08/03/2022,25/03/2022,16/03/2022,18/03/2022, 335381.40 ,26/04/2022,27/05/2022,,15/07/2022, 167690.70 ,17/07/2022,29/08/2022,29/08/2022,23.11.2022,23/11/2022,, 55897.00 ,,
157,Uherský Brod,,Nerealizovano,5.52,309581.00,377491.00,Interni,03/03/2022,,,,, 260468.79 ,,,,, 130234.40 ,,,,,,, 43411.47 ,,
158,Újezdec,,Nerealizovano,9.66,404600.00,486060.00,Interni,03/03/2022,11/03/2022,,,, 335381.40 ,,,,, 167690.70 ,,,,,,, 55896.90 ,,
159,Uherský Brod,,Nerealizovano,,,377491.00,Interni,03/03/2022,11/03/2022,,,, 260468.79 ,,,,, 130234.40 ,,,,,,, 43411.47 ,,
160,Viničné Šumice,,Nerealizovano,,,,Interni,07/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
161,Javorník,,Nerealizovano,9.66kWp,420768.00,524849.00,Interni,07/03/2022,10/06/2022,,,, 362145.81 ,,,,, 181072.91 ,,,,,,, 60357.64 ,,
162,,,Nerealizovano,,,,Externi,07/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
163,Zlín,PS,Pripojeni,5.52,294159.00,359546.00,Interni,08/03/2022,14/03/2022,04/04/2022,29/03/2022,04/04/2022, 260108.00 ,08/04/2022,,,06/10/2022, 113369.00 ,07/10/2022,20/10/2022,21/10/2022,,,, 40000.00 ,,
164,Vnorovy,,Nerealizovano,,,,Interni,02/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
165,Podivín,,Nepotvrzena_realizace,7.36,328000.00,395710.00,Interni,08/03/2022,04/04/2022,16/09/2022,,, 273039.90 ,,,,, 136519.95 ,,,,,,, 45506.65 ,,
166,Ořechov,,Nerealizovano,,,,Interni,08/03/2022,23/03/2022,,,, - ,,,,, - ,,,,,,, - ,,
167,Brno - Židenice,,Nerealizovano,,,,Interni,08/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
168,Bílovice,,Nerealizovano,6.44,304210.00,413762.00,Interni,08/03/2022,30/03/2022,,,, 285495.78 ,,,,, 142747.89 ,,,,,,, 47582.63 ,,
169,Šardice,,Nerealizovano,,,,Interni,09/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
170,Javorník,,Nerealizovano,,,,Interni,09/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
171,Kašperské hory,,R ,7.36,331914.00,403738.00,Interni,03/03/2022,14/03/2022,20/05/2022,10/05/2022,10/05/2022, 278579.22 ,25/07/2022,,,03/11/2022, 139289.61 ,,03/11/2022,,,,, 46429.87 ,,
172,Újezd u Brna,,Nerealizovano,,,,Interni,12/03/2022,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
173,Čejkovice,,Nerealizovano,,,,Externi,14/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
174,,,Nerealizovano,,,,Externi,14/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
175,Mistřice,,Pripojeni,7.36,327900.00,395710.00,Interni,14/03/2022,17/03/2022,09/04/2022,04/04/2022,07/04/2022, 273039.90 ,13/04/2022,12/05/2022,08/07/2022,16/08/2022, 136519.95 ,23/08/2022,22/08/2022,26/10/2022,11.01.2023,,, 45506.65 ,,
176,Ratíškovice,,Odlozeno,5.52,229000.00,327000.00,Interni,14/03/2022,31/03/2022,,,, 225630.00 ,,,,, 112815.00 ,,,,,,, 37605.00 ,,
177,"Závod, SK","SK,IK",Odlozeno,5.52,310329.00,378464.00,Interni,16/03/2022,31/03/2022,,,, 261140.16 ,,,,, 130570.08 ,,,,,,, 43523.36 ,,
178,,,Nerealizovano,,,,Externi,15/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
179,,,Nerealizovano,,,,Externi,15/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
180,,,Nerealizovano,,,,Interni,17/03/2022,,,,, - ,,,,, - ,,,,,,, - ,,
181,"Bratislava,SK","IK,SK",Slovensko,9.66kWp, 10354.00 € , 12958.00 € ,Interni,17/03/2022,03/06/2022,26/07/2022,27/07/2022,10/08/2022, 8941.02 ,,,,, 4470.51 ,,,,,,, 1490.17 ,,
182,Bratislava,"IK,SK",Slovensko,6.44,184032.00,238034.00,Interni,18/03/2022,01/06/2022,,,, 164243.46 ,,,,, 82121.73 ,,,,,,, 27373.91 ,,
183,Hodonín,PS,Pripojeni,5.52,310700.00,378946.00,Interni,21/03/2022,29/03/2022,05/04/2022,31/03/2022,05/04/2022, 261472.74 ,06/04/2022,,,08/09/2022, 130736.37 ,08/09/2022,13/09/2022,19/19/2022,13.12.2022,,, 43578.79 ,,
184,Ostrava,Ptáček,R ,4.92,345315.00,421797.00,Interni,22/02/2022,31/03/2022,01/06/2022,,12/07/2022, 291039.93 ,12/07/2022,,,, 145519.97 ,,,,,,, 48506.66 ,,
185,Břeclav,IK,Pripojeni,9.66kWp, 406600.00 , 488560.00 ,Externi,23/03/2022,08/04/2022,09/05/2022,09/05/2022,09/05/2022, 337106.40 ,28/05/2022,,,21/09/2022, 168553.20 ,22/09/2022,17/07/2022,22/09/2022,,,, 56184.40 ,,
186,Hustopeče,IK,Nerealizovano,7.36,413200.00, 499460.00 ,Interni,23/03/2022,31/03/2022,,,, 344627.40 ,,,,, 172313.70 ,,,,,,, 57437.90 ,,
187,Čejkovice,,Pripojeni,7.36,327900.00,395710.00,Interni,23/03/2022,30/03/2022,05/05/2022,20/05/2022,22/06/2022, 273039.90 ,23/06/2022,,,16/09/2022, 136519.95 ,22/09/2022,01/11/2022,25/11/2022,,,, 45506.65 ,,
188,Moravská Nová Ves,,Ukonceno,6.44,317900.00,379310.00,Interni,24/03/2022,29/03/2022,20/02/2022,31/03/2022,31/03/2022, 261723.90 ,06/04/2022,11/05/2022,01/06/2022,02/06/2022, 130861.95 ,06/06/2022,08/06/2022,04/08/2022,25.11.2022,,, 43620.65 ,,
189,Rakvice,"PS, WB, IK",Pripojeni,7.82,,461437.00,Interni,24/03/2022,30/03/2022,26/04/2022,25/04/2022,25/04/2022, 321497.00 ,27/04/2022,27/04/2022,,21/10/2022, 156091.00 ,27/10/2022,,,,,, 53065.26 ,,
190,Dolní Břežany,WB,Pripojeni,7.36,373326.00,458474.00,Interni,24/03/2022,31/03/2022,10/05/2022,28/04/2022,23/05/2022, 330510.00 ,02/06/2022,02/06/2022,26/09/2022,29/09/2022, 148865.00 ,06/10/2022,23/09/2022,15/11/2022,3833891-2022,,, 47870.00 ,,
191,Dolní Břežany,IK,Pripojeni,5.4kWp, 311476.00 ,383177.00,Interni,24/03/2022,31/03/2022,28/04/2022,28/04/2022,28/04/2022, 264392.13 ,02/05/2022,02/05/2022,27/09/2022,29/09/2022, 132196.07 ,29/09/2022,23/09/2022,15/11/2022,3837944-2022,,, 44065.36 ,,
192,Drslavice,,Nerealizovano,,,,Interni,28/03/2022,30/03/2022,,,, - ,,,,, - ,,,,,,, - ,,
193,"Jalubí, Uherské Hradiště",,Nerealizovano,,,,Interni,21/03/2022,30/03/2022,,,, - ,,,,, - ,,,,,,, - ,,
194,Lanžhot,,Pripojeni,5.52,299600.00,363025.00,Interni,24/03/2022,06/04/2022,04/05/2022,06/05/2022,10/05/2022, 250487.25 ,15/06/2022,,,12/09/2022, 125243.63 ,19/09/2022,18/09/2022,21/09/2022,07.12.2022,,, 41747.88 ,,
195,Tlustice,,Pripojeni,7.36,347400.00,419595.00,Interni,31/03/2022,04/04/2022,17/05/2022,12/05/2022,01/06/2022, 289520.55 ,01/06/2022,,,21/10/2022, 144760.28 ,21/10/2022,19/09/2022,21/10/2022,,,, 48253.43 ,,
196,Komárov,,Nerealizovano,7.36,311500.00, 374706.00 ,Interni,31/03/2022,04/04/2022,,,, 258547.14 ,,,,, 129273.57 ,,,,,,, 43091.19 ,,
197,Osek,,Pripojeni,6.44,315795.00,381619.00,Interni,31/03/2022,04/04/2022,20/05/2022,10/05/2022,, 263317.11 ,30/05/2022,,,21/10/2022, 131658.56 ,25/10/2022,27/07/2022,21/10/2022,12.12.2022,,, 43886.19 ,,
